Title,Description,Thumbnail url,Channel name,Views,Likes,Comments,Duration in seconds,Duration in minutes,Duration in timestamp,Duration,Uploaded Time,Video url,Tags,Tags (in description),Emails (in description),Links (in description)
Indentation in Python | Day 7 | 100 Days of Python Programming,"Indentation in Python: Uncover the significance of indentation in Python programming with this video. Learn why proper indentation is crucial for code structure and readability.

Code used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day7-control-statements

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/PbpuN5yI68o/maxresdefault.jpg,CampusX,50626,935,25,548,9.13,9:08,"9 Minutes, 8 Seconds",2021-06-22T12:30:09,https://www.youtube.com/watch?v=PbpuN5yI68o,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day7-control-statements, https://www.instagram.com/campusx.official]"
While Loop in Python | Day 8 | 100 Days of Python Programming,"Learn the power of repetitive tasks with this video on while loops in Python. Learn how to create loops that continue executing as long as a certain condition is true. 

Code used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day8-loops

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/fGckTEH5DPI/maxresdefault.jpg,CampusX,57330,1131,32,669,11.15,11:09,"11 Minutes, 9 Seconds",2021-06-24T12:30:19,https://www.youtube.com/watch?v=fGckTEH5DPI,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day8-loops]"
Guessing Game in Python,"Learn how to build a simple yet engaging program that challenges users to guess a number. Join us on this hands-on journey to enhance your Python skills and create interactive games with ease.

Code used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day8-loops

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/Ai4fEP-QKSI/maxresdefault.jpg,CampusX,55538,1020,25,562,9.37,9:22,"9 Minutes, 22 Seconds",2021-06-25T12:30:02,https://www.youtube.com/watch?v=Ai4fEP-QKSI,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day8-loops]"
For Loop In Python,"Discover the syntax and functionality of for loops, a versatile tool for executing a block of code multiple times. Join us on this coding journey to understand how for loops enhance the efficiency and readability of your Python programs.

Code used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day8-loops

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/mMCelsWjfac/maxresdefault.jpg,CampusX,54140,976,28,578,9.63,9:38,"9 Minutes, 38 Seconds",2021-06-26T12:30:09,https://www.youtube.com/watch?v=mMCelsWjfac,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day8-loops]"
Nested Loops in Python,"Dive into the world of complex iterations with this video on nested loops in Python. Learn how to use multiple loops within each other to solve intricate problems and handle multidimensional data. 

Code used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day8-loops

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/QU3zhcSBWKU/maxresdefault.jpg,CampusX,48493,839,38,411,6.85,6:51,"6 Minutes, 51 Seconds",2021-06-28T12:30:06,https://www.youtube.com/watch?v=QU3zhcSBWKU,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day8-loops]"
"Break, Continue and Pass Statements in Python","Break, Continue, and Pass statements in Python are essential for controlling the flow of loops. 'Break' terminates the loop prematurely when a condition is met, 'Continue' skips the rest of the code within a loop for a specific condition, and 'Pass' is a no-operation placeholder, ensuring syntactic correctness when no action is needed. These statements provide flexibility and control in loop structures.

Code used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day8-loops

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/lgs_o6mDzdU/maxresdefault.jpg,CampusX,42711,855,14,458,7.63,7:38,"7 Minutes, 38 Seconds",2021-06-29T12:30:08,https://www.youtube.com/watch?v=lgs_o6mDzdU,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day8-loops]"
Built-in Functions in Python,"Built-in functions in Python are pre-defined functions that come with the Python interpreter. These functions serve various purposes, from performing basic operations like 'len()' for getting the length of an object to more complex tasks like 'sum()' for adding up elements in a sequence. Leveraging built-in functions enhances code efficiency and readability, making Python a powerful and user-friendly programming language.

Code used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day9-built-in-functions-and-modules

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/hCMnJT14XTw/maxresdefault.jpg,CampusX,61268,1253,24,641,10.68,10:41,"10 Minutes, 41 Seconds",2021-07-05T12:30:07,https://www.youtube.com/watch?v=hCMnJT14XTw,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day9-built-in-functions-and-modules]"
Built-in Modules in Python | How to use Modules in Python,"Code used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day9-built-in-functions-and-modules

About CampusX:

CampusX is an online mentorship program for engineering students. We offer a 6-month long mentorship to students in the latest cutting - edge technologies like Machine Learning, Python, Web Development, and Deep Learning & Neural networks.

At its core, CampusX aims to change this education system of India. We believe that high-quality education is not just for the privileged few. It is the right of everyone who seeks it. Through our mentorship program, we aim to bring quality education to every single student. A mentored student is provided with guidance on how to ace a technology through 24x7 mentorship, live and recorded video lectures, daily skill-building activities, project assignments, and evaluation, hackathons, interactions with industry experts, soft skill training, personal counseling, and comprehensive reports. All we need from you is intent, a ray of passion to learn. 

Connect with us:

Website: http://www.campusx.in

Medium Blog: https://medium.com/campusx

Facebook: https://www.facebook.com/campusx.official

Linkedin: linkedin.com/company/campusx-official

Instagram: https://www.instagram.com/campusx.official/

Github: https://github.com/campusx-official

Email: support@campusx.in",https://i.ytimg.com/vi/sM5-_9bJgdw/maxresdefault.jpg,CampusX,52703,1017,20,615,10.25,10:15,"10 Minutes, 15 Seconds",2021-07-06T12:30:18,https://www.youtube.com/watch?v=sM5-_9bJgdw,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://github.com/campusx-official, https://www.instagram.com/campusx.official/, https://medium.com/campusx, https://www.facebook.com/campusx.official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day9-built-in-functions-and-modules, http://www.campusx.in]"
Strings in Python | Part 1,"This video simplifies the process of accessing substrings, offering practical examples to boost your understanding of Python string operations.

Code used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day10-strings

Read more about Unicode Strings: https://docs.python.org/3.3/howto/unicode.html

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/cNy9Pc35fRw/maxresdefault.jpg,CampusX,45209,770,12,418,6.97,6:58,"6 Minutes, 58 Seconds",2021-07-12T10:19:00,https://www.youtube.com/watch?v=cNy9Pc35fRw,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day10-strings, https://docs.python.org/3.3/howto/unicode.html]"
Accessing Substrings from a String | Indexing and Slicing in Python Strings | Part 2,"This video simplifies the process of accessing substrings, offering practical examples to boost your understanding of Python string operations.

Code used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day10-strings

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/ue1dZQKKLM8/maxresdefault.jpg,CampusX,41660,695,7,631,10.52,10:31,"10 Minutes, 31 Seconds",2021-07-12T10:21:07,https://www.youtube.com/watch?v=ue1dZQKKLM8,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day10-strings]"
Editing and Deleting Strings in Python | Part 3,"This video guides you through editing and deleting operations, providing practical insights to enhance your Python programming skills.

Code Used: https://github.com/campusx-official/100-days-of-python-programming/tree/main/day10-strings

============================
Do you want to learn from me?
Check my affordable mentorship program at : https://learnwith.campusx.in/s/store
============================

📱 Grow with us:
CampusX' LinkedIn: https://www.linkedin.com/company/campusx-official
CampusX on Instagram for daily tips: https://www.instagram.com/campusx.official
My LinkedIn: https://www.linkedin.com/in/nitish-singh-03412789
Discord: https://discord.gg/PsWu8R87Z8
E-mail us at support@campusx.in",https://i.ytimg.com/vi/DZmJxCEfkCs/maxresdefault.jpg,CampusX,33508,569,11,298,4.97,4:58,"4 Minutes, 58 Seconds",2021-07-12T10:21:49,https://www.youtube.com/watch?v=DZmJxCEfkCs,"[#Education, #Engineering, #Campus, #Placement, #Skills, #Machine Learning, #Software, #Web Development, #Profile Building]",[],[support@campusx.in],"[https://discord.gg/PsWu8R87Z8, https://www.linkedin.com/company/campusx-official, https://learnwith.campusx.in/s/store, https://www.linkedin.com/in/nitish-singh-03412789, https://www.instagram.com/campusx.official, https://github.com/campusx-official/100-days-of-python-programming/tree/main/day10-strings]"
